Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.3-192.168.10.25-53-54655-17,192.168.10.25,54655,192.168.10.3,53,17,7/7/2017 11:16,23749,2,2,82,114,41,41,41,0,57,57,57,0,8252.979073,168.4281443,7916.333333,13628.35314,23653,47,49,49,0,49,49,47,47,0,47,47,0,0,0,0,88,64,84.21407217,84.21407217,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41,57,88,0,0,0,0,0,0,2,82,2,114,-1,-1,1,44,0,0,0,0,0,0,0,0,BENIGN
192.168.10.5-216.58.219.240-52973-443-6,216.58.219.240,443,192.168.10.5,52973,6,5/7/2017 2:40,190,2,0,12,0,6,6,6,0,0,0,0,0,63157.89474,10526.31579,190,0,190,190,190,190,0,190,190,0,0,0,0,0,0,0,0,0,40,0,10526.31579,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-56156-80-6,172.16.0.1,56156,192.168.10.50,80,6,5/7/2017 9:53,3001291,3,0,0,0,0,0,0,0,0,0,0,0,0,0.999569852,1500645.5,712060.0642,2004148,997143,3001291,1500645.5,712060.0642,2004148,997143,0,0,0,0,0,0,0,0,0,120,0,0.999569852,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0,0,0,0,0,0,0,0,DoS slowloris
192.168.10.3-192.168.10.17-53-55829-17,192.168.10.17,55829,192.168.10.3,53,17,4/7/2017 11:26,119594,2,2,56,188,28,28,28,0,94,94,94,0,2040.236132,33.44649397,39864.66667,69043.29798,119589,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,80,64,16.72324699,16.72324699,28,94,54.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,68,28,94,80,0,0,0,0,0,0,2,56,2,188,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-51823-17,192.168.10.15,51823,192.168.10.3,53,17,7/7/2017 1:04,178,2,2,94,190,47,47,47,0,95,95,95,0,1595505.618,22471.91011,59.33333333,61.15826464,125,4,4,4,0,4,4,49,49,0,49,49,0,0,0,0,40,40,11235.95506,11235.95506,47,95,66.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,82.75,47,95,40,0,0,0,0,0,0,2,94,2,190,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
140.211.11.105-192.168.10.15-443-56591-6,192.168.10.15,56591,140.211.11.105,443,6,5/7/2017 1:59,30313760,14,18,1241,18562,517,0,88.64285714,164.5023297,2920,2,1031.222222,967.0897857,653.267691,1.055626224,977863.2258,2972120.631,10000000,2,20500000,1576231.462,3760371.088,10100000,78,30200000,1777482.118,3911519.982,10100000,2,0,0,0,0,292,364,0.461836473,0.593789751,0,2920,600.0909091,859.1276594,738100.3352,0,0,0,1,0,0,0,0,1,618.84375,88.64285714,1031.222222,292,0,0,0,0,0,0,14,1241,18,18562,8192,32160,13,20,245359.5,210735.4985,394372,96347,10000000,246.0731599,10000000,9999971,BENIGN
172.16.0.1-192.168.10.50-34850-1524-6,172.16.0.1,34850,192.168.10.50,1524,6,7/7/2017 2:52,71,1,1,2,6,2,2,2,0,6,6,6,0,112676.0563,28169.01408,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,14084.50704,14084.50704,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
192.168.10.8-192.168.10.15-40051-14441-6,192.168.10.8,40051,192.168.10.15,14441,6,6/7/2017 3:38,1,2,0,4,0,2,2,2,0,0,0,0,0,4000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,48,0,2000000,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-63660-17,192.168.10.9,63660,192.168.10.3,53,17,7/7/2017 4:53,148,2,2,82,236,41,41,41,0,118,118,118,0,2148648.649,27027.02703,49.33333333,80.25168742,142,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,13513.51351,13513.51351,41,118,71.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,89.75,41,118,40,0,0,0,0,0,0,2,82,2,236,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.17-53-33024-17,192.168.10.17,33024,192.168.10.3,53,17,5/7/2017 9:48,24304,2,2,70,326,35,35,35,0,163,163,163,0,16293.61422,164.5819618,8101.333333,13986.90492,24252,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,80,80,82.29098091,82.29098091,35,163,86.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,107.75,35,163,80,0,0,0,0,0,0,2,70,2,326,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-62296-17,192.168.10.3,62296,192.168.10.1,53,17,6/7/2017 9:52,401094,1,1,49,104,49,49,49,0,104,104,104,0,381.4567159,4.986362299,401094,0,401094,401094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.49318115,2.49318115,49,104,67.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,101,49,104,20,0,0,0,0,0,0,1,49,1,104,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.51-68.67.178.243-46097-443-6,192.168.10.51,46097,68.67.178.243,443,6,5/7/2017 11:36,17248808,19,24,24138,17350,5792,0,1270.421053,2085.820124,2896,0,722.9166667,911.965146,2405.267657,2.492925888,410685.9048,1806245.397,9999294,3,7249511,402750.6111,1493971.275,6376230,16,17200000,748545.4783,2420708.419,9999335,3,0,0,0,0,616,776,1.101525392,1.391400496,0,5792,942.9090909,1536.599126,2361136.875,0,0,0,1,0,0,0,0,1,964.8372093,1270.421053,722.9166667,616,0,0,0,0,0,0,19,24138,24,17350,29200,174,8,32,436640.5,411633.0203,727709,145572,8187762,2561893.123,9999294,6376230,BENIGN
192.168.10.50-206.108.0.133-123-123-17,192.168.10.50,123,206.108.0.133,123,17,3/7/2017 9:52,69022275,2,2,96,96,48,48,48,0,48,48,48,0,2.781710687,0.057952306,23007425,39811618.23,68977922,22068,69000207,69000207,0,69000207,69000207,68999990,68999990,0,68999990,68999990,0,0,0,0,52,64,0.028976153,0.028976153,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,22285,0,22285,22285,68977922,0,68977922,68977922,BENIGN
192.168.10.25-72.249.192.48-51370-443-6,192.168.10.25,51370,72.249.192.48,443,6,3/7/2017 12:08,45,2,0,12,0,6,6,6,0,0,0,0,0,266666.6667,44444.44444,45,0,45,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,40,0,44444.44444,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.8-52.200.140.34-50723-80-6,192.168.10.8,50723,52.200.140.34,80,6,5/7/2017 9:40,60374954,9,9,655,783,613,0,72.77777778,202.5930513,771,0,87,256.5131576,23.81782353,0.298136873,3551467.882,4881267.436,10000000,58,50300000,6291449.5,5116035.714,10100000,50012,60300000,7540518.75,4622657.437,10100000,1168,0,0,0,0,192,252,0.149068437,0.149068437,0,771,75.68421053,218.7972305,47872.22807,0,0,0,1,0,0,0,0,1,79.88888889,72.77777778,87,192,0,0,0,0,0,0,9,655,9,783,8192,119,8,20,109343.6,130870.5993,343452,50680,9956975.6,87530.27107,10000000,9800626,BENIGN
192.168.10.8-50.63.243.230-54738-80-6,192.168.10.8,54738,50.63.243.230,80,6,4/7/2017 2:27,5352,2,0,0,0,0,0,0,0,0,0,0,0,0,373.6920777,5352,0,5352,5352,5352,5352,0,5352,5352,0,0,0,0,0,0,0,0,0,40,0,373.6920777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,16425,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-28805-80-6,172.16.0.1,28805,192.168.10.50,80,6,7/7/2017 4:07,8548127,4,0,24,0,6,6,6,0,0,0,0,0,2.807632596,0.467938766,2849375.667,4932741.58,8545215,1000,8548127,2849375.667,4932741.58,8545215,1000,0,0,0,0,0,0,0,0,0,80,0,0.467938766,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2912,0,2912,2912,8545215,0,8545215,8545215,DDoS
192.168.10.3-192.168.10.50-53-49646-17,192.168.10.50,49646,192.168.10.3,53,17,4/7/2017 12:06,187,2,2,86,142,43,43,43,0,71,71,71,0,1219251.337,21390.37433,62.33333333,67.98774399,136,2,2,2,0,2,2,49,49,0,49,49,0,0,0,0,64,64,10695.18717,10695.18717,43,71,54.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,67.75,43,71,64,0,0,0,0,0,0,2,86,2,142,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-33466-80-6,172.16.0.1,33466,192.168.10.50,80,6,5/7/2017 10:52,67742660,7,6,718,11595,359,0,102.5714286,175.1740631,7240,0,1932.5,2695.639126,181.7613894,0.191902709,5645221.667,19400000,67400000,1,67600000,11300000,27500000,67400000,1,355529,71105.8,102621.9229,224110,72,0,0,0,0,232,200,0.103332228,0.088570481,0,7240,879.5,1924.900947,3705243.654,0,0,0,0,1,0,0,0,0,947.1538462,102.5714286,1932.5,232,0,0,0,0,0,0,7,718,6,11595,251,235,2,32,5,0,5,5,67400000,0,67400000,67400000,DoS Hulk
178.255.83.1-192.168.10.8-80-55516-6,192.168.10.8,55516,178.255.83.1,80,6,3/7/2017 2:32,23,2,0,12,0,6,6,6,0,0,0,0,0,521739.1304,86956.52174,23,0,23,23,23,23,0,23,23,0,0,0,0,0,0,0,0,0,40,0,86956.52174,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,16425,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60696-17,192.168.10.3,60696,192.168.10.1,53,17,3/7/2017 9:24,23301,1,1,65,146,65,65,65,0,146,146,146,0,9055.405347,85.83322604,23301,0,23301,23301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,42.91661302,42.91661302,65,146,92,46.7653718,2187,0,0,0,0,0,0,0,0,1,138,65,146,20,0,0,0,0,0,0,1,65,1,146,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61186-17,192.168.10.3,61186,192.168.10.1,53,17,7/7/2017 9:41,94342,1,1,42,109,42,42,42,0,109,109,109,0,1600.559666,21.19946577,94342,0,94342,94342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,10.59973289,10.59973289,42,109,64.33333333,38.68246804,1496.333333,0,0,0,0,0,0,0,0,1,96.5,42,109,32,0,0,0,0,0,0,1,42,1,109,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.14-53-59445-17,192.168.10.14,59445,192.168.10.3,53,17,3/7/2017 1:22,30862,2,2,62,208,31,31,31,0,104,104,104,0,8748.622902,129.6092282,10287.33333,17812.12184,30855,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,64.80461409,64.80461409,31,104,60.2,39.9837467,1598.7,0,0,0,0,0,0,0,0,1,75.25,31,104,64,0,0,0,0,0,0,2,62,2,208,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.16-53-14046-17,192.168.10.16,14046,192.168.10.3,53,17,4/7/2017 9:34,25258,2,2,88,206,44,44,44,0,103,103,103,0,11639.87647,158.3656663,8419.333333,14579.24903,25254,1,1,1,0,1,1,3,3,0,3,3,0,0,0,0,64,40,79.18283316,79.18283316,44,103,67.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,84.5,44,103,64,0,0,0,0,0,0,2,88,2,206,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-56837-17,192.168.10.15,56837,192.168.10.3,53,17,3/7/2017 1:53,275733,4,2,140,254,35,35,35,0,127,127,127,0,1428.918555,21.76018104,55146.6,107035.1518,245153,3,30576,10192,17609.7743,30526,3,4,4,0,4,4,0,0,0,0,104,64,14.50678736,7.253393682,35,127,61.28571429,44.89140336,2015.238095,0,0,0,0,0,0,0,0,0,71.5,35,127,104,0,0,0,0,0,0,4,140,2,254,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-113.207.48.168-17651-443-6,192.168.10.9,17651,113.207.48.168,443,6,5/7/2017 11:45,332,3,1,18,53,6,6,6,0,53,53,53,0,213855.4217,12048.19277,110.6666667,31.53305144,145,83,332,166,87.68124087,228,104,0,0,0,0,0,0,0,0,0,60,20,9036.144578,3012.048193,6,53,15.4,21.01903899,441.8,0,0,0,0,1,0,0,0,0,19.25,6,53,60,0,0,0,0,0,0,3,18,1,53,290,156,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.19-53-1042-17,192.168.10.19,1042,192.168.10.3,53,17,5/7/2017 9:50,23986,2,2,60,264,30,30,30,0,132,132,132,0,13507.8796,166.7639456,7995.333333,13846.59151,23984,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,80,64,83.38197282,83.38197282,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30,132,80,0,0,0,0,0,0,2,60,2,264,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.8-53-62580-17,192.168.10.8,62580,192.168.10.3,53,17,6/7/2017 12:07,237,2,2,76,154,38,38,38,0,77,77,77,0,970464.135,16877.63713,79,94.63614531,185,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,64,8438.818565,8438.818565,38,77,53.6,21.36117974,456.3,0,0,0,0,0,0,0,0,1,67,38,77,64,0,0,0,0,0,0,2,76,2,154,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.17-222.122.210.80-50479-443-6,192.168.10.17,50479,222.122.210.80,443,6,5/7/2017 2:19,16773553,30,39,1092,55231,517,0,36.4,127.7461383,2896,0,1416.179487,838.5078185,3357.845532,4.113618623,246669.8971,1331272.209,10000000,2,11800000,407342.3103,1847412.201,10000000,48,16600000,435589.4474,1801402.092,10200000,2,0,0,0,0,968,1256,1.788529836,2.325088787,0,2896,804.6142857,933.5093875,871439.7766,0,0,0,1,0,0,0,0,1,816.2753623,36.4,1416.179487,968,0,0,0,0,0,0,30,1092,39,55231,29200,62,3,32,1812556,0,1812556,1812556,10000000,0,10000000,10000000,BENIGN
172.16.0.1-192.168.10.50-59726-80-6,172.16.0.1,59726,192.168.10.50,80,6,5/7/2017 10:51,48,2,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,64,0,41666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,DoS Hulk
192.168.10.3-192.168.10.14-53-63331-17,192.168.10.14,63331,192.168.10.3,53,17,6/7/2017 10:36,175,2,2,90,146,45,45,45,0,73,73,73,0,1348571.429,22857.14286,58.33333333,60.16920586,123,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,40,40,11428.57143,11428.57143,45,73,56.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,70.25,45,73,40,0,0,0,0,0,0,2,90,2,146,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-53-61891-17,192.168.10.9,61891,192.168.10.3,53,17,7/7/2017 10:53,223,2,2,80,452,40,40,40,0,226,226,226,0,2385650.224,17937.21973,74.33333333,86.81781691,171,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,40,40,8968.609865,8968.609865,40,226,114.4,101.8763957,10378.8,0,0,0,0,0,0,0,0,1,143,40,226,40,0,0,0,0,0,0,2,80,2,452,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.50-53-48220-17,192.168.10.50,48220,192.168.10.3,53,17,4/7/2017 9:59,184,2,2,46,46,23,23,23,0,23,23,23,0,500000,21739.13043,61.33333333,105.3676105,183,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,40,40,10869.56522,10869.56522,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,40,0,0,0,0,0,0,2,46,2,46,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.25-23.15.4.17-57622-80-6,23.15.4.17,80,192.168.10.25,57622,6,3/7/2017 11:12,53,1,1,0,0,0,0,0,0,0,0,0,0,0,37735.84906,53,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,939,33304,0,32,0,0,0,0,0,0,0,0,BENIGN
